价格（万）,小区,房屋户型,房屋单价（元/m²）,所在位置,建筑面积（平方米）,参考首付（万）,建造年代（年）,房屋朝向,参考月供,房屋类型,所在楼层,装修程度,配套电梯,产权性质,是否一手房源
74.6万,凤凰城,3室2厅2卫,6376,"资中县－资中城区－321国道,近资州大道",117,22.38,2015,南北,,普通住宅,低层(共32层),精装修,有,商品房,否
65万,现代国际,3室2厅1卫,6842,资中县－资中城区－资州大道南一段46号,95,19.50,2013,南北,,普通住宅,低层(共30层),精装修,有,商品房,否
69.8万,内江万达广场,3室2厅2卫,6980,"东兴区－东兴－汉安大道,近兰桂大道",100,20.94,2016,南北,,普通住宅,低层(共33层),豪华装修,无,商品房,否
39.8万,金科中央公园城,3室2厅1卫,4738,市中区－城西－内椑路,84,11.94,2012,南北,,普通住宅,低层(共30层),毛坯,有,商品房,否
61.8万,上海花园,3室2厅2卫,6574,东兴区－月儿湾－中兴路,94,18.54,2012,南北,,普通住宅,低层(共33层),精装修,有,商品房,否
89.8万,万晟城云府,3室2厅2卫,8472,东兴区－东兴－汉安大道东段155号,106,26.94,2018,南北,,普通住宅,低层(共32层),精装修,有,商品房,否
75.8万,翡翠国际社区,3室2厅1卫,8713,东兴区－东兴－汉安大道西段927号,87,22.74,2015,南北,,普通住宅,低层(共32层),豪华装修,有,商品房,否
66.6万,柏瑞公园一号,3室2厅2卫,7239,东兴区－月儿湾－西林大道869号,92,19.98,2016,南北,,普通住宅,低层(共30层),精装修,有,商品房,否
77.6万,万达中央华城,3室2厅2卫,8527,东兴区－东兴周边－兰桂大道442号,91,23.28,2015,南,,普通住宅,低层(共30层),精装修,有,商品房,否
68.8万,万晟城峰景,3室2厅1卫,8000,东兴区－三湾路－汉安大道东段111号,86,20.64,2013,南北,,普通住宅,低层(共33层),精装修,有,商品房,否
87.6万,邦泰国际公馆(西区),3室2厅2卫,9522,东兴区－新六中－北环路888号,92,26.28,2015,南北,,普通住宅,低层(共32层),毛坯,有,商品房,否
78.8万,翡翠国际社区,3室2厅1卫,9057,东兴区－东兴－汉安大道西段927号,87,23.64,2013,东,,普通住宅,低层(共32层),精装修,无,商品房,否
79万,翡翠国际社区,3室2厅1卫,7980,东兴区－东兴－汉安大道西段927号,99,23.70,2014,东南,,普通住宅,低层(共30层),精装修,有,商品房,否
71.6万,万晟城峰景,3室2厅1卫,7458,东兴区－三湾路－汉安大道东段111号,96,21.48,2015,南北,,普通住宅,低层(共33层),豪华装修,有,商品房,否
46万,金科时代中心,3室2厅2卫,5055,市中区－城西－太子路118号,91,13.80,2013,南北,,普通住宅,低层(共33层),毛坯,有,商品房,否
58.8万,鸿通春天公园城,3室2厅2卫,5345,市中区－城西－松山南路135号,110,17.64,2016,南北,,普通住宅,低层(共33层),精装修,有,商品房,否
79.8万,万达中央华城2期,3室2厅2卫,8966,东兴区－东兴－栖霞路599号,89,23.94,2015,东,,普通住宅,低层(共33层),精装修,无,商品房,否
68.8万,万晟城峰阁,3室2厅1卫,7776,东兴区－三湾路－汉安大道东段111号,88.5,20.64,2013,东南,,普通住宅,低层(共31层),精装修,无,商品房,否
52万,传化广场锦城A区,3室2厅1卫,6667,东兴区－三湾路－汉安大道,78,15.60,2018,南北,,普通住宅,低层(共30层),毛坯,有,商品房,否
79.8万,万达中央华城,3室2厅1卫,8769,东兴区－东兴周边－兰桂大道442号,91,23.94,2015,南北,,普通住宅,低层(共33层),精装修,有,商品房,否
